Date,Average Temperature,Number of Measurements
2014-02-13,4.10,70
2014-02-14,3.39,69
2014-02-15,6.04,67
2014-02-16,5.36,72
2014-02-17,4.21,71
2014-02-18,4.57,72
2014-02-19,5.93,72
2014-02-20,5.51,72
2014-02-21,6.42,72
2014-02-22,5.43,72
2014-02-23,6.47,72
2014-02-24,6.68,72
2014-02-25,5.19,70
2014-02-26,6.35,71
2014-02-27,5.04,72
2014-02-28,4.93,72
2014-03-01,4.08,72
2014-03-02,3.86,63
2014-03-03,4.13,53
2014-03-04,4.51,72
2014-03-05,4.21,71
2014-03-06,5.16,70
2014-03-07,7.67,58
2014-03-08,5.50,72
2014-03-09,8.67,72
2014-03-10,8.03,72
2014-03-11,3.90,72
2014-03-12,5.24,72
2014-03-13,6.49,71
2014-03-14,6.99,72
2014-03-15,7.18,72
2014-03-16,8.42,72
2014-03-17,8.41,70
2014-03-18,8.25,68
2014-03-19,8.01,72
2014-03-20,11.27,71
2014-03-21,8.18,72
2014-03-22,5.93,72
2014-03-23,5.07,72
2014-03-24,4.56,72
2014-03-25,4.15,72
2014-03-26,4.54,72
2014-03-27,2.83,69
2014-03-28,6.93,72
2014-03-29,6.67,72
2014-03-30,6.55,69
2014-03-31,4.40,72
2014-04-01,5.59,71
2014-04-02,5.24,70
2014-04-03,6.10,72
2014-04-04,5.18,71
2014-04-05,5.32,71
2014-04-06,9.63,67
2014-04-07,11.90,72
2014-04-08,10.04,72
2014-04-09,8.21,72
2014-04-10,6.47,72
2014-04-11,8.89,72
2014-04-12,6.81,72
2014-04-13,8.39,72
2014-04-14,7.66,71
2014-04-15,6.36,72
2014-04-16,6.35,72
2014-04-17,8.34,68
2014-04-18,6.38,72
2014-04-19,9.19,72
2014-04-20,10.38,72
2014-04-21,11.93,72
2014-04-22,13.72,72
2014-04-23,11.18,72
2014-04-24,8.17,72
2014-04-25,11.69,72
2014-04-26,12.01,72
2014-04-27,11.91,65
2014-04-28,12.54,72
2014-04-29,13.35,71
2014-04-30,10.93,71
2014-05-01,7.25,63
2014-05-02,7.40,72
2014-05-03,6.36,69
2014-05-04,8.15,72
2014-05-05,7.38,72
2014-05-06,10.67,61
2014-05-07,11.61,72
2014-05-08,10.25,72
2014-05-09,10.18,72
2014-05-10,10.76,72
2014-05-11,11.06,72
2014-05-12,10.74,72
2014-05-13,9.78,64
2014-05-14,10.45,71
2014-05-15,11.47,72
2014-05-16,12.32,72
2014-05-17,13.54,72
2014-05-18,13.75,72
2014-05-19,13.81,68
2014-05-20,14.08,72
2014-05-21,17.64,72
2014-05-22,20.00,72
2014-05-23,16.26,70
2014-05-24,15.83,72
2014-05-25,15.62,71
2014-05-26,14.46,69
2014-05-27,14.49,72
2014-05-28,12.44,72
2014-05-29,12.69,72
2014-05-30,15.11,71
2014-05-31,13.22,72
2014-06-01,15.03,72
2014-06-02,16.06,71
2014-06-03,15.83,71
2014-06-04,15.71,69
2014-06-05,15.43,72
2014-06-06,13.44,72
2014-06-07,15.67,72
2014-06-08,17.64,72
